対象県（富山/石川/福井）,アンケート回答日,居住都道府県,性別,年代,職業,世帯年収,同伴者,宿泊数（全行程）,宿泊エリア（県外）,宿泊エリア（県内）,宿泊数（県内）,１泊目　宿泊先,１泊目　食事プラン,２泊目　宿泊先,２泊目　食事プラン,３泊目　宿泊先,３泊目　食事プラン,４泊目　宿泊先,４泊目　食事プラン,交通手段１（目的地まで）,自家用車,レンタカー,新幹線,在来線,飛行機,旅行会社ツアーバス,県外から訪れていない（福井県在住）,交通手段２（目的地から）,タクシー,路線バス,徒歩,レンタサイクル,交通の満足度,交通の満足度の理由,来県回数（観光）,エリアへの訪問回数,施設への訪問回数,目的,宿でのんびり過ごす,温泉や露天風呂,地元の美味しいものを食べる,花見や紅葉などの自然鑑賞,名所、旧跡の観光,テーマパーク（遊園地、動物園、博物館など）,買い物、アウトレット,お祭りやイベントへの参加・見物,スポーツ観戦や芸能鑑賞（コンサート等）,アウトドア（海水浴、釣り、登山など）,まちあるき、都市散策,各種体験（手作り、果物狩りなど）,スキー・スノボ、マリンスポーツ,その他スポーツ（ゴルフ、テニスなど）,ドライブ・ツーリング,友人・親戚を尋ねる,出張など仕事関係,その他の目的,情報源,Facebook,Google,Googleマップ,Instagram,TikTok,X（旧Twitter）,YouTube,SNS広告,ブログ,まとめサイト,インターネット・アプリ,デジタルニュース,宿泊予約Webサイト,宿泊施設,TV・ラジオ番組やCM,ラブライブのスタンプラリー,新聞・雑誌・ガイドブック,旅行会社,友人・知人,地元の人,観光パンフレット・ポスター,観光案内所,観光展・物産展,観光連盟やDMOのHP,その他,他を検討した？,どこと比較した？（県）,どこと比較した？（観光地）,交通費,飲食費,宿泊費,買い物費,施設orエリア消費総額,観光費,訪問場所,寿司,ます寿司,海の幸食べたか,海の幸感動,満足度（食べ物・料理）,満足度（宿泊施設）,満足度（買い物（工芸品・特産品など））,満足度（観光・体験）,満足度（旅行全体）,満足度（商品・サービス）,満足度理由(サービス),満足度理由,不便に感じたこと・困ったこと,最も幸せを感じた食べ物,最も幸せを感じた観光・体験,おすすめ度,再訪意向,自由意見,回答場所,個人情報保護の方針について,アンケート前に訪れた主な場所（施設やスポット名称、エリアなど）,上記名称リストにない場合について、具体的にお答えください。(前),アンケート後に訪れる予定の場所（施設やスポット名称、エリア）,上記名称リストにない場合について、具体的にお答えください。(後),会員ID,登録エリア,生まれ年,回答時の年齢,UA(UserAgent),回答月,回答エリア2,DMO,推奨項目
石川,2026/01/01 13:41:59,愛知県,女,1978,,600万円以上 700万円未満,中学生以上連れの家族,2泊,石川県外には泊まらない,金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）,2泊,,,,,,,,,レンタカー,0,1,0,0,0,0,0,,0,0,0,0,4,,,,初めて,"地元の美味しいものを食べる, 名所、旧跡の観光, まちあるき、都市散策",0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,"新聞・雑誌・ガイドブック, インターネット・アプリ",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,"50,000円以上 100,000円未満",,"30,000円以上 40,000円未満",,,,,,,,,,,4,4,,,,,,8,機会があれば行きたい,特になし,金沢城公園,同意する,,,,,,,1978,,,,,,
石川,2026/01/01 14:48:52,石川県,女,1992,,500万円以上 600万円未満,親,日帰り,石川県外には泊まらない,金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）,4泊以上,,,,,,,,,県外から訪れていない（石川県内在住）,0,0,0,0,0,0,0,,0,0,0,0,,,,,初めて,"名所、旧跡の観光, 友人・親戚を訪ねる",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,友人・知人,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,使わない,,使わない,,,,,,,,,,,5,5,マンホールカードをゲットできた,とても綺麗だった。みんな親切に教えてくれた,,,,10,石川県在住,とくになし,金沢中央観光案内所,同意する,,,,,,,1992,,,,,,
石川,2026/01/01 15:11:46,北海道,女,2002,,100万円以上 200万円未満,親,2泊,石川県外には泊まらない,金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）,2泊,,,,,,,,,自家用車,1,0,0,0,0,0,0,,0,0,0,0,,,,,初めて,"宿でのんびり過ごす, 地元の美味しいものを食べる, 名所、旧跡の観光",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"新聞・雑誌・ガイドブック, 観光パンフレット・ポスター",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,,,,,,"20,000円以上 30,000円未満",,"3,000円以上 5,000円未満",,,,,,,,,,,4,4,,,,,,10,機会があれば行きたい,海産物、友禅,石川県観光物産館,同意する,,,,,,,2002,,,,,,
石川,2026/01/01 15:19:44,東京都,その他,1976,,400万円以上 500万円未満,夫婦2人,1泊,石川県外には泊まらない,金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）,1泊,,,,,,,,,新幹線,0,0,1,0,0,0,0,,0,0,0,0,,,,,初めて,初詣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,観光協会等の案内所,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,"5,000円以上 10,000円未満",,"1,000円未満",,,,,,,,,,,5,3,,元日にお手洗いを借りることができた,,,,4,また行きたい（1年以内）,無添加の食品 食べ物,石川県立美術館,同意する,,白山市,,,,,1976,,,,,,
石川,2026/01/01 16:15:40,愛知県,女,2003,,"900万円以上 1,000万円未満",中学生以上連れの家族,1泊,岐阜県,石川県内には宿泊しない,石川県内には宿泊しない,,,,,,,,,自家用車,1,0,0,0,0,0,0,,0,0,0,0,,,,,2～5回目,"地元の美味しいものを食べる, 花見や紅葉などの自然鑑賞, まちあるき、都市散策",0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"新聞・雑誌・ガイドブック, 観光パンフレット・ポスター, インターネット・アプリ, Instagram",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,,,,,,"1,000円以上 3,000円未満",,"1,000円以上 3,000円未満",,,,,,,,,,,5,4,,,,,,8,機会があれば行きたい,特になし,兼六駐車場,同意する,,,,,,,2003,,,,,,
石川,2026/01/01 16:27:33,東京都,男,1961,,"900万円以上 1,000万円未満",団体旅行,2泊,富山県,石川県内には宿泊しない,石川県内には宿泊しない,,,,,,,,,旅行会社ツアーバス,0,0,0,0,0,1,0,,0,0,0,0,4,尾山神社に近接,,,初めて,名所、旧跡の観光,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,友人・知人,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,使わない,,使わない,,,,,,,,,,,5,5,情報が多く参考になった,,,,,8,機会があれば行きたい,特になし 落ち着いた雰囲気と上品な観光地,金沢中央観光案内所,同意する,,,,,,,1961,,,,,,
石川,2026/01/01 16:53:28,京都府,女,1998,,400万円以上 500万円未満,恋人,2泊,石川県外には泊まらない,金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）,2泊,,,,,,,,,"新幹線, 在来線",0,0,1,1,0,0,0,,0,0,0,0,3,,,,2～5回目,蓮ノ空聖地巡礼,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,せーので蓮ノ空,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,"10,000円以上 20,000円未満",,使わない,,,,,,,,,,,4,5,,,,,,9,また行きたい（1年以内）,蓮ノ空コラボ,金沢城公園,同意する,,,,,,,1998,,,,,,
石川,2026/01/01 16:56:58,石川県,男,1973,,"1,000万円以上 1,200万円未満",友人,1泊,石川県外には泊まらない,加賀エリア （山代温泉、山中温泉、片山津温泉、粟津温泉、辰口温泉、加賀市、小松市など）,1泊,,,,,,,,,"新幹線, 飛行機",0,0,1,0,1,0,0,,0,0,0,0,5,アクセスが良い,,,2～5回目,"宿でのんびり過ごす, 温泉や露天風呂, 地元の美味しいものを食べる, 名所、旧跡の観光",1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"インターネット・アプリ, X(旧：Twitter), Instagram, 友人・知人",0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,"10,000円以上 20,000円未満",,"10,000円以上 20,000円未満",,,,,,,,,,,4,5,,,,,,9,機会があれば行きたい,特になし 観光兼六園金沢城,石川県政記念しいのき迎賓館,同意する,,,,,,,1973,,,,,,
石川,2026/01/01 17:08:51,愛知県,男,1966,,"1,500万円以上",中学生以上連れの家族,日帰り,岐阜県,石川県内には宿泊しない,石川県内には宿泊しない,,,,,,,,,自家用車,1,0,0,0,0,0,0,,0,0,0,0,,,,,2～5回目,"地元の美味しいものを食べる, 名所、旧跡の観光, まちあるき、都市散策",0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,"新聞・雑誌・ガイドブック, TV・ラジオ番組やCM, 観光パンフレット・ポスター, インターネット・アプリ",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,,,,,,使わない,,"1,000円以上 3,000円未満",,,,,,,,,,,4,4,,,,,,10,また行きたい（1年以内）,地元のお土産で夕飯のおかずになるようなもの 金沢城の復元,兼六駐車場,同意する,,,,,,,1966,,,,,,
石川,2026/01/01 19:29:23,神奈川県,女,1958,,500万円以上 600万円未満,中学生以上連れの家族,2泊,石川県外には泊まらない,金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）,2泊,,,,,,,,,新幹線,0,0,1,0,0,0,0,,0,0,0,0,4,路線バスの路線、本数が多い。,,,2～5回目,"名所、旧跡の観光, まちあるき、都市散策, 各種体験（手作り、果物狩りなど）",0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,"観光パンフレット・ポスター, インターネット・アプリ, 観光協会等の案内所",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,,,,,,"20,000円以上 30,000円未満",,"1,000円未満",,,,,,,,,,,4,5,スタッフの方が親切、また朝ごはんも美味しいから,古い施設だが、よく手入れがされ、清潔。,,,,9,また行きたい（1年以内）,城下町の良さ、文化の豊かさが魅力と思います。町並みや資料館、博物館など多く見どころ満載です。観光誘致も大切かと思いますが、観光のためにまちを壊さないよう、住む方が不快な思いをされないようにお願いします。一度荒らされるともとに戻すことはできないと思います。どうぞ安売りしないでください。 見どころ多く、体験もできて　楽しめる。泊まる施設も多い。,ＨＯＴＥＬ金沢　兼六荘,同意する,,金石地区　銭屋五兵衛記念館　銭五の館,,,,,1958,,,,,,
石川,2026/01/01 22:21:05,愛知県,女,1978,,300万円以上 400万円未満,中学生以上連れの家族,2泊,石川県外には泊まらない,金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）,2泊,,,,,,,,,レンタカー,0,1,0,0,0,0,0,,0,0,0,0,4,,,,初めて,"地元の美味しいものを食べる, 名所、旧跡の観光",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,インターネット・アプリ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,"40,000円以上 50,000円未満",,"40,000円以上 50,000円未満",,,,,,,,,,,4,4,,,,,,8,機会があれば行きたい,特になし,スーパーホテルPremier金沢駅東口,同意する,,,,,,,1978,,,,,,
石川,2026/01/02 8:56:00,岐阜県,女,1999,,"1,000万円以上 1,200万円未満",親,1泊,石川県外には泊まらない,金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）,1泊,,,,,,,,,自家用車,1,0,0,0,0,0,0,,0,0,0,0,,,,,初めて,"温泉や露天風呂, 地元の美味しいものを食べる",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,友人・知人,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,"5,000円以上 10,000円未満",,"1,000円未満",,,,,,,,,,,4,4,ラウンジでのドリンクサービスがよかった。,近江市場に近く駐車場が使えたのが便利だった。朝ごはん付きのプランでの予約だったが昼ごはんに変更していただけて助かった。,,,,7,機会があれば行きたい,海鮮がおいしくて、また来たいと思いました。 食べ物がおいしい,ANAホリディ・イン金沢スカイ,同意する,,朝の川温泉,,,,,1999,,,,,,
石川,2026/01/02 9:16:28,兵庫県,女,2009,,100万円以上 200万円未満,自分ひとり,3泊,石川県外には泊まらない,金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）,3泊,,,,,,,,,バス,0,0,0,0,0,0,0,,0,0,0,0,5,運転手がたくさん話してくださった。,,,11回目以上,"地元の美味しいものを食べる, 友人・親戚を訪ねる",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,タクシードライバーや地元の人,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,,,使わない,,"3,000円以上 5,000円未満",,,,,,,,,,,5,5,おいしい,いろんなものがある,,,,10,また行きたい（1年以内）,特になし 雪が降らない地域にとって雪が新鮮,金沢駅,同意する,,,,,,,2009,,,,,,
石川,2026/01/02 9:37:49,愛知県,女,1956,,400万円以上 500万円未満,小学生以下連れの家族,2泊,石川県外には泊まらない,金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）,2泊,,,,,,,,,自家用車,1,0,0,0,0,0,0,,0,0,0,0,,,,,2～5回目,"宿でのんびり過ごす, 地元の美味しいものを食べる, 名所、旧跡の観光",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,観光展・物産展,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,"10,000円以上 20,000円未満",,"5,000円以上 10,000円未満",,,,,,,,,,,5,5,,夕食が美味しかった,,,,5,また行きたい（1年以内）,食の新鮮さ,金沢国際ホテル,同意する,,,,,,,1956,,,,,,
石川,2026/01/02 9:39:58,新潟県,女,1973,,600万円以上 700万円未満,中学生以上連れの家族,1泊,石川県外には泊まらない,金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）,1泊,,,,,,,,,自家用車,1,0,0,0,0,0,0,,0,0,0,0,,,,,初めて,友人・親戚を訪ねる,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,インターネット・アプリ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,"10,000円以上 20,000円未満",,"1,000円未満",,,,,,,,,,,4,4,料金がリーズナブルで、スタッフの方々のサービスはとても良かったです。,少し設備が古い感じがしました。,,,,8,また行きたい（1年以内）,地元の食材を活かしたメニューを楽しみたいです。 金沢駅の雰囲気が良かったです。,金沢国際ホテル,同意する,,金沢駅,,,,,1973,,,,,,
石川,2026/01/02 10:04:36,滋賀県,男,1993,,500万円以上 600万円未満,小学生以下連れの家族,2泊,石川県外には泊まらない,金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）,2泊,,,,,,,,,自家用車,1,0,0,0,0,0,0,,0,0,0,0,,,,,初めて,友人・親戚を訪ねる,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,インターネット・アプリ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,"40,000円以上 50,000円未満",,"40,000円以上 50,000円未満",,,,,,,,,,,4,3,,,,,,5,また行きたい（1年以内）,特になし 海鮮が美味しい,金沢国際ホテル,同意する,,,,,,,1993,,,,,,
