対象県（富山/石川/福井）,アンケート回答日,居住都道府県,性別,年代,職業,世帯年収,同伴者,宿泊数（全行程）,宿泊エリア（県外）,宿泊エリア（県内）,宿泊数（県内）,１泊目　宿泊先,１泊目　食事プラン,２泊目　宿泊先,２泊目　食事プラン,３泊目　宿泊先,３泊目　食事プラン,４泊目　宿泊先,４泊目　食事プラン,交通手段１（目的地まで）,自家用車,レンタカー,新幹線,在来線,飛行機,旅行会社ツアーバス,県外から訪れていない（福井県在住）,交通手段２（目的地から）,タクシー,路線バス,徒歩,レンタサイクル,交通の満足度,交通の満足度の理由,来県回数（観光）,エリアへの訪問回数,施設への訪問回数,目的,宿でのんびり過ごす,温泉や露天風呂,地元の美味しいものを食べる,花見や紅葉などの自然鑑賞,名所、旧跡の観光,テーマパーク（遊園地、動物園、博物館など）,買い物、アウトレット,お祭りやイベントへの参加・見物,スポーツ観戦や芸能鑑賞（コンサート等）,アウトドア（海水浴、釣り、登山など）,まちあるき、都市散策,各種体験（手作り、果物狩りなど）,スキー・スノボ、マリンスポーツ,その他スポーツ（ゴルフ、テニスなど）,ドライブ・ツーリング,友人・親戚を尋ねる,出張など仕事関係,その他の目的,情報源,Facebook,Google,Googleマップ,Instagram,TikTok,X（旧Twitter）,YouTube,SNS広告,ブログ,まとめサイト,インターネット・アプリ,デジタルニュース,宿泊予約Webサイト,宿泊施設,TV・ラジオ番組やCM,ラブライブのスタンプラリー,新聞・雑誌・ガイドブック,旅行会社,友人・知人,地元の人,観光パンフレット・ポスター,観光案内所,観光展・物産展,観光連盟やDMOのHP,その他,他を検討した？,どこと比較した？（県）,どこと比較した？（観光地）,交通費,飲食費,宿泊費,買い物費,施設orエリア消費総額,観光費,訪問場所,寿司,ます寿司,海の幸食べたか,海の幸感動,満足度（食べ物・料理）,満足度（宿泊施設）,満足度（買い物（工芸品・特産品など））,満足度（観光・体験）,満足度（旅行全体）,満足度（商品・サービス）,満足度理由(サービス),満足度理由,不便に感じたこと・困ったこと,最も幸せを感じた食べ物,最も幸せを感じた観光・体験,おすすめ度,再訪意向,自由意見,回答場所,個人情報保護の方針について,アンケート前に訪れた主な場所（施設やスポット名称、エリアなど）,上記名称リストにない場合について、具体的にお答えください。(前),アンケート後に訪れる予定の場所（施設やスポット名称、エリア）,上記名称リストにない場合について、具体的にお答えください。(後),会員ID,登録エリア,生まれ年,回答時の年齢,UA(UserAgent),回答月,回答エリア2,DMO,推奨項目
石川,2023/10/12 11:05:46,広島県,女,1963,,700万円以上 800万円未満,親,4泊以上,客船,石川県内には宿泊しない,石川県内には宿泊しない,,,,,,,,,客船,0,0,0,0,0,0,0,,0,0,0,0,4,,,,初めて,"地元の美味しいものを食べる, 名所、旧跡の観光",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,ツアー,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,使わない,,使わない,,,,,,,,,,,,4,,,,,,7,機会があれば行きたい,名所観光、焼物、海鮮料理,金沢城公園,同意する,,,,,,,1963,,,,,,
石川,2023/10/12 19:17:16,静岡県,女,1992,,300万円以上 400万円未満,恋人,2泊,石川県外には泊まらない,金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）,2泊,,,,,,,,,新幹線,0,0,1,0,0,0,0,,0,0,0,0,5,便利,,,初めて,"地元の美味しいものを食べる, 名所、旧跡の観光, まちあるき、都市散策",0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,インターネット・アプリ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,"10,000円以上 20,000円未満",,"1,000円以上 3,000円未満",,,,,,,,,,,,3,チームラボががっかりだった,城自体はよかった,,,,7,機会があれば行きたい,特になし 良いから,金沢城公園,同意する,,,,,,,1992,,,,,,
石川,2023/10/12 20:36:13,兵庫県,無回答,1999,,400万円以上 500万円未満,恋人,1泊,石川県外には泊まらない,金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）,1泊,,,,,,,,,在来線,0,0,0,1,0,0,0,,0,0,0,0,,,,,2～5回目,"地元の美味しいものを食べる, 名所、旧跡の観光, テーマパーク（遊園地、動物園、博物館など）",0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"観光パンフレット・ポスター, インターネット・アプリ",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,"5,000円以上 10,000円未満",,"1,000円以上 3,000円未満",,,,,,,,,,,,5,,,,,,10,機会があれば行きたい,特になし,金沢城公園,同意する,,,,,,,1999,,,,,,
石川,2023/10/12 20:36:29,兵庫県,女,2002,,100万円未満,恋人,1泊,石川県外には泊まらない,金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）,1泊,,,,,,,,,在来線,0,0,0,1,0,0,0,,0,0,0,0,5,絵をかけたことによってとても思い出に残りました！！！,,,初めて,"宿でのんびり過ごす, 地元の美味しいものを食べる, 花見や紅葉などの自然鑑賞, 名所、旧跡の観光, お祭りやイベントへの参加・見物",1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,"観光パンフレット・ポスター, Instagram",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,"10,000円以上 20,000円未満",,"3,000円以上 5,000円未満",,,,,,,,,,,,5,色々質問させていただきましたがとても丁寧に答えていただきました,初めて行きましたが、とても綺麗でした,,,,10,また行きたい（1年以内）,満足してます 徒歩圏内で楽しめるところがたくさんあるところ,金沢城公園,同意する,,,,石川図書館,,,2002,,,,,,
石川,2023/10/12 22:02:38,新潟県,女,1962,,600万円以上 700万円未満,友人,1泊,石川県外には泊まらない,金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）,1泊,,,,,,,,,新幹線,0,0,1,0,0,0,0,,0,0,0,0,3,バスがわかりずらい,,,初めて,"地元の美味しいものを食べる, 名所、旧跡の観光",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"インターネット・アプリ, 友人・知人",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,"5,000円以上 10,000円未満",,"1,000円以上 3,000円未満",,,,,,,,,,,,4,綺麗だった,綺麗だった,,,,9,機会があれば行きたい,食事 自然がよい,金沢城公園,同意する,,,,,,,1962,,,,,,
石川,2023/10/12 22:35:23,石川県,男,1984,,600万円以上 700万円未満,小学生以下連れの家族,日帰り,地元住民です。,石川県内には宿泊しない,石川県内には宿泊しない,,,,,,,,,市内バス,0,0,0,0,0,0,0,,0,0,0,0,,,,,11回目以上,チームラボ金沢城光の祭を鑑賞しました。,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"観光展・物産展, TV・ラジオ番組やCM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,,,,,使わない,,"3,000円以上 5,000円未満",,,,,,,,,,,,5,チームラボ金沢城光の祭を鑑賞しました。最高でした。,,,,,10,石川県在住,鶴丸休憩所にスターバックスリージョナルストアを誘致してほしいです。,金沢城公園,同意する,,地元住民であるため。,,,,,1984,,,,,,
石川,2023/10/13 13:53:58,東京都,男,1990,,500万円以上 600万円未満,親,日帰り,石川県外には泊まらない,石川県内には宿泊しない,石川県内には宿泊しない,,,,,,,,,新幹線,0,0,1,0,0,0,0,,0,0,0,0,4,今回見たかった場所がバスの本数が多くアクセスは良かった。,,,初めて,"地元の美味しいものを食べる, 名所、旧跡の観光, まちあるき、都市散策",0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,新聞・雑誌・ガイドブック,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,使わない,,使わない,,,,,,,,,,,,3,お金を支払う行動をしていないので,無料で入れる場所が、他のお城なら有料の場所になるような場所まで入れたから,,,,8,機会があれば行きたい,特になし 近江町市場、美味しいものが沢山あったから,金沢城公園,同意する,,,,,,,1990,,,,,,
石川,2023/10/13 19:51:49,石川県,男,1973,,500万円以上 600万円未満,小学生以下連れの家族,日帰り,石川県外には泊まらない,石川県内には宿泊しない,石川県内には宿泊しない,,,,,,,,,県外から訪れていない（石川県内在住）,0,0,0,0,0,0,0,,0,0,0,0,,,,,2～5回目,テーマパーク（遊園地、動物園、博物館など）,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,インターネット・アプリ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,使わない,,"1,000円以上 3,000円未満",,,,,,,,,,,,5,案内がしっかりしていた,よくわからない,,,,2,石川県在住,石川県の企業でコラボ ない,金沢城公園,同意する,,金沢城公園のみ,,金沢城公園のみ,,,1973,,,,,,
石川,2023/10/13 19:53:18,大阪府,女,1969,,600万円以上 700万円未満,中学生以下連れの家族,1泊,石川県外には泊まらない,金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）,1泊,,,,,,,,,在来線,0,0,0,1,0,0,0,,0,0,0,0,,,,,初めて,"温泉や露天風呂, 地元の美味しいものを食べる, お祭りやイベントへの参加・見物",0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,インターネット・アプリ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,"10,000円以上 20,000円未満",,"1,000円以上 3,000円未満",,,,,,,,,,,,5,,チームラボ観てきた,,,,8,機会があれば行きたい,東茶屋 チームラボ,金沢城公園,同意する,,,,,,,1969,,,,,,
石川,2023/10/13 20:12:00,大阪府,女,1998,,400万円以上 500万円未満,親,1泊,石川県外には泊まらない,金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）,1泊,,,,,,,,,在来線,0,0,0,1,0,0,0,,0,0,0,0,,,,,2～5回目,"宿でのんびり過ごす, 地元の美味しいものを食べる, 買い物、アウトレット, まちあるき、都市散策",1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,"新聞・雑誌・ガイドブック, インターネット・アプリ",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,"5,000円以上 10,000円未満",,"1,000円以上 3,000円未満",,,,,,,,,,,,5,チームラボのライトアップがとても綺麗だった。展示物に説明もあり、想像よりもボリュームたっぷりで母と二人で行きましたがとても楽しめました。,夜暗い道でもスタッフの方が誘導してくださったりライトで階段を照らしてくれたので安心しました。,,,,10,また行きたい（1年以内）,特にないです 街の景観が綺麗で、自然や芸術やグルメを楽しめるので色んな面で満足できると思いました。,金沢城公園,同意する,,,,,,,1998,,,,,,
石川,2023/10/13 20:22:17,新潟県,女,1962,,500万円以上 600万円未満,友人,1泊,石川県外には泊まらない,金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）,1泊,,,,,,,,,新幹線,0,0,1,0,0,0,0,,0,0,0,0,4,バス亭が解りづらい所があった。,,,6～10回目,"スポーツ観戦や芸術鑑賞（コンサート等）, まちあるき、都市散策",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,インターネット・アプリ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,"5,000円以上 10,000円未満",,"1,000円以上 3,000円未満",,,,,,,,,,,,3,サービスを受ける事はなかった。,特別感じなかった。,,,,8,機会があれば行きたい,特に無し コンパクトに色々な箇所を観光出来て良いから。,金沢城公園,同意する,,,,,,,1962,,,,,,
石川,2023/10/13 22:43:10,石川県,女,1972,,700万円以上 800万円未満,自分ひとり,日帰り,石川県外には泊まらない,石川県内には宿泊しない,石川県内には宿泊しない,,,,,,,,,在来線,0,0,0,1,0,0,0,,0,0,0,0,2,金沢城公園の入り口がわかりにくかった,,,6～10回目,お祭りやイベントへの参加・見物,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,新聞・雑誌・ガイドブック,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,"1,000円以上 3,000円未満",,"1,000円以上 3,000円未満",,,,,,,,,,,,5,アートラボがとてもよかった,キレイなトイレが多かった,,,,9,機会があれば行きたい,上品さ アートラボ　見る価値あり,金沢城公園,同意する,,,,,,,1972,,,,,,
石川,2023/10/14 21:50:10,石川県,男,1972,,200万円以上 300万円未満,夫婦2人,1泊,岐阜県,能登エリア （和倉温泉、七尾市、輪島市、珠洲市など）,1泊,,,,,,,,,県外から訪れていない（石川県内在住）,0,0,0,0,0,0,0,,0,0,0,0,,,,,6～10回目,ドライブ・ツーリング,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,観光パンフレット・ポスター,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,"10,000円以上 20,000円未満",,"1,000円以上 3,000円未満",,,,,,,,,,,,4,ちょこし値段が高いかな～,値段が高いかな,,,,10,また行きたい（1年以内）,金沢駅付近に集中しすぎてる感じがする 雰囲気や石垣の素晴らしい所,金沢城公園,同意する,,,,,,,1972,,,,,,
石川,2023/10/14 21:50:23,石川県,女,1984,,200万円以上 300万円未満,夫婦2人,日帰り,福井県,能登エリア （和倉温泉、七尾市、輪島市、珠洲市など）,4泊以上,,,,,,,,,県外から訪れていない（石川県内在住）,0,0,0,0,0,0,0,,0,0,0,0,,,,,6～10回目,ドライブ・ツーリング,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,観光パンフレット・ポスター,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,"20,000円以上 30,000円未満",,"1,000円以上 3,000円未満",,,,,,,,,,,,4,とても親切だった。,綺麗だった。,,,,10,石川県在住,ひゃくまんさんを、もっと全面に出すべきです。 夜のライトアップが良かったから。,金沢城公園,同意する,,,,,,,1984,,,,,,
石川,2023/10/14 22:18:26,石川県,男,1996,,"1,500万円以上",恋人,日帰り,石川県外には泊まらない,金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）,1泊,,,,,,,,,レンタカー,0,1,0,0,0,0,0,,0,0,0,0,5,,,,11回目以上,"宿でのんびり過ごす, 温泉や露天風呂, 地元の美味しいものを食べる",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,観光展・物産展,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,"20,000円以上 30,000円未満",,使わない,,,,,,,,,,,,5,,,,,,10,また行きたい（1年以内）,特に無し,金沢城公園,同意する,,,,,,,1996,,,,,,
石川,2023/10/14 22:39:19,石川県,男,1987,,"900万円以上 1,000万円未満",小学生以下連れの家族,日帰り,石川県外には泊まらない,石川県内には宿泊しない,石川県内には宿泊しない,,,,,,,,,県外から訪れていない（石川県内在住）,0,0,0,0,0,0,0,,0,0,0,0,,,,,初めて,名所、旧跡の観光,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"TV・ラジオ番組やCM, インターネット・アプリ",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,使わない,,"3,000円以上 5,000円未満",,,,,,,,,,,,5,チームラボの展示が魅力的だった,人混みではなかった,,,,10,石川県在住,子連れで飲食できる店を充実させてほしい 金沢でしか見れないものが多い,金沢城公園,同意する,,,,,,,1987,,,,,,
